mayfly	chironomid	simulium	ephemeroptera	killifish	cyprinus	diptera	piscivorous	mosquitofish	phalacrocorax	odonata	herbivorous	insectivorous	chub	lepomis	orthoptera
maastrichtian	neogene	oligocene	mudstone	unconformably	siliciclastic	granulite	silicified	clastic	superterrane	downdip	podzol	lacustrine	eocene	fossiliferous	ammophila
detestation	repugnance	malignity	indignation	detestable	odious	vehemence	lamentable	abhorred	licentiousness	revulsion	ingratitude	ignominy	perversity	impiety	atrocious
wilma	landfall	hurricane	cyclone	storm	grimmer	atlantic_hurricane	northeastward	gust	torrential	biloxi	rainband	tropical	west-northwest	typhoon	nor'easter
militarisation	militarized	militarism	expansionism	militaristic	destabilization	adventurism	destabilisation	state-building	globalist	neoliberalism	interventionism	intensifying	geostrategic	expansionist	separatism
air_pollution	polluting	polluted	water_pollution	smog	airshed	polluter	environmental	air_quality	coal-burning	eutrophication	nonpoint	antipollution	smokestack	pollute	sprawl
darkfield	micrograph	photomicrograph	retouch	stippling	sectioned	multicolor	visualized	textural	autofluorescence	stereoscope	autoradiograph	retouch	birefringent	antialias	thalweg

lyric	singing	sing	songbook	rockabilly	bluesy	sang	melody	sung	anthemic	sing-along	tune	blues-rock	accompaniment	sitar	foot-tapping
right_wing	flapping	flap	winged	wingspan	beak	fuselage	underside	rump	aloft	appendage	wingless	strut	fluttering	thorax	swoop
unsung	heroic	larger-than-life	bravery	villain	heroism	warrior	legendary	plucky	portrayed	gladiator	battle-scarred	valiant	personification	macho	agamemnon
cumulonimbus	cloud	stratocumulus	convective	updraft	stratiform	downdraft	anticyclonic	cyclonic	advect	squall	stratus	thunderstorm	convection	cloudiness	raindrop
gold	platter	silver_star	pewter	silversmith	burnished	bronze	silver_bullet	silver_lake	plate	inlaid	silver-plated	pendant	roentgenium	medallion	sheathed


mouthpart	pediculus	earwig	chigger	heteroptera	encysted	seta	pinworm	spittlebug	hemiptera	maggot	ectoparasite	tapeworm	isopod	wingless	impetigo
decarboxylation	phenylpropanoid	oxylipin	polyphenol	prostaglandin	dehydrogenation	dibromide	trichloride	menadione	acceptor	transamination	sphingolipid	propene	xylose	nonosmotic	lipolysis
navigational	explorer	sextant	navigation	copilot	helmsman	starfighter	lightship	aviator	co-pilot	navigate	turn-by-turn	single-click	seamanship	nautical	point-and-click


condominium	tram	dozer	storeroom	fasten	hajra	old-growth_forest
farmer	farm	farm	slash-and-burn	agriculture	agriculturalist	agricultural	agriculturally	family_farm	pastoralism	dairying	arable	ranching	smallholder	cropping	collectivization



earplug	tantrum	downturn	blackout	demarc	earmuffs	neurohemal	overload	zasada	slowdown	winch	czechs	symbiont

chessboard	soccer	backgammon	checkmate	playing	parcheesi	scrabble	grandmaster	frisbee	world_cup	cribbage	tournament	tic-tac-toe	poker	ping-pong	played

fanon	boa	culturalist	simmel	ethnocentrism	eurocentrism	world-system	positivism	eurocentric	schelling	theda	jürgen	nativism	habermas	feyerabend	espousal
epitaph	reamplified	sequential_logic	archers	lower_court
lioness	red_lion	mountain_lion	sea_lion	leopard	tiger	panthera	stag	hyena	boar	jackal	gazel	horned	wildebeest	caracal	anchorite

phonetically	homonym	phonologically	homograph	grapheme	onomatopoeia	non-word	phonotactic	antonym	phoneme	pronunciation	trigram	monosyllabic	phonetic	schwa	adjectival
unavailability	available	affordability	limited	take-up	unavailable	increasing	oversubscribed	renew	utilization	subscribership	depend	high_availability	timeliness	low-cost	flexibility
bush_administration	bushi	clinton	bushi	administration	rove	gop	sotu	reagan	rummy	bushi	hawkish	reaganesque	unilateralist	w	chickenshit

forecastle	bulkhead	midship	planking	gangway	waterline	prow	deck	astern	foremast	hoist	stacked	jib	porthole	portside	4-foot
anticyclonic	anticyclonically	high_wind	intraseasonal	east-northeast	east-southeast	atmospheric_circulation	monsoonal	subduct	interdecadal	anticyclone	sudanian	trough	gulli	monsoon	thick

habitual	habitually	slothful	unconsciously	accustomed	instinctive	laziness	accustom	instinct	mind	careless	self-control	oneself	immoderate	insensibly	baneful
keen	montpelier	currier	castleton	waterbury	maryanne	belles	elizabethtown	burlington	hampshire	colden	yarmouth	cranbrook	attleboro	westport	hartland
gooey	rubbery	goop	creamsicle	syrupy	unmarred	doughy	fluffy	spiky	crinkly	greasily	slather	rancid	lustrous	vinegary	piggish
particular	certain	purport	pertain	presuppose	relevant	inhere	generally	ordinarily	therefore	regard	definiteness	concerning	irrespective	explication	signification
cynic	kampman	server-side_scripting	co-author	temporal_lobe	medical_specialty	echocardiogram
lobbying	legislator	statehouse	lawmaker	staffer	fawell	officeholder	capitol	politician	congressional	norquist	pork_barrel	earmark	beltway	big-money	republican

disingenuous	denigrate	trivialize	inexcusable	uninformed	justifiably	ill-informed	misinform	intentioned	self-serving	misguided	belittle	shortsighted	downplay	egregiously	undeniably
dioxide	co2	carbon_tax	carbon_dioxide	carbon_steel	activated_carbon	sequestration	sequester	carbon_credit	carbon_trading	organic_carbon	air-cool	tetrachloride	diamondlike	carbon_cycle	gass
owner-occupied	rent-free	leasehold	sublet	renter	tenant	renting	sublet	rent	landlord	roomer	subtenant	self-build	housing	homebuilder	fixer-upper
faulting	fault	graben	extensional	downthrown	subduction	anticlinal	blame	trend	compressional	scarp	interrupter	error	seismogenic	tectonic	wellbore
carolina	carolinian	north	charlotte	north_america	wilmington	durham	north_american	greenville	carolina	tarheel	dakotan	charleston	dakota	hoke	troxler
contribute	contributing	tax-deductible	contributor	in-kind	significant	generous	outstanding	donation	pay-as-you-go	pension	donat	accrue	furthering	gratefully	fer

sturnus	parakeet	finch	goldfinch	blackbird	cockatoo	grackle	sparrow	molothrus	titmouse	tetrao	chickadee	buteo	volant	sterna	aviary

trust_fund	trust_account	trustor	fiduciary	settlor	interest-bearing	trust_management	unit_trust	investment_trust	grantor	revocable	trusting	fund	public_trust	reinsurer	mutual
self-esteem	self-worth	self-belief	assertiveness	self-doubt	self-awareness	self-assurance	self-image	instill	self-acceptance	enthusiasm	empathy	self-confident	instil	self-concept	schoolwork
settlor	decedent	enrollee	annuitant	death_benefit	revocable	paye	distributee	coinsurance	policyholder	conservatorship	payee	copayment	enroll	paid-up	alimony
sump	clogging	backwashing	aerated	influent	bilge	draining	softener	chlorination	dewatering	rinsing	scrubber	pumped	clogged	rin	silt
dryas	deglaciation	interglacial	obliquity	holocene	kyr	paleoclimatic	interstadial	neogene	pliocene	glacier	multidecadal	subpolar	maastrichtian	midlatitude	cenozoic
harvest	harvest	silvicultural	replant	silviculture	harvester	shelterwood	transplanting	unharvested	felling	clearcutting	tilling	cultivation	intercropping	sustainably	plantlet
woolen	knitwear	woollen	denim	knitted	rayon	corset	millinery	burberry	broadcloth	cashmere	sportswear	muslin	nightwear	handloom	two-piece
phd	doctorate	doctoral	postdoctoral	m.a.	b.a.	fellowship	predoctoral	professor	graduate	assistant_professor	research_associate	associate	degree	earned	major
gigabyte	kilobyte	terabyte	megabit	uncompressed	gb	4k	mb	sata	kbps	exabyte	petabyte	mbit	4x	cd-r	56k
aotearoa	australian	maori	zealander	pakeha	kiwi	trans-tasman	christchurch	tasmanian	wale	kiwi	wellington	niuean	australasian	moala	birrell



pearl	marian	semi-precious	mikimoto	n72	glitter	necklace	jewel	japan	chaplet	semiprecious	turquoise	jade	japanese	millet	gem
dramaturgy	screenwriting	playwright	playwright	mainstage	theatrical	choreograph	stagecraft	choreograph	drama	puppetry	scriptwriting	theatre	choreography	improvisational	librettist

godwit	curlew	thrush	wren	nuthatch	scientologist	dunlin	gamebirds	protonotaria	elanus	kestrel	fulvous	wigeon	osprey	pipit	trillium
exobiology	voskhod	weightlessness	spaceflight	space_flight	astrobiology	keti	orbit	embryologist	aeronomy	free-flying	tektite	bioscientist	tizard	manned	zoologist
passed	enactment	enact	ver	pass	bill	self-same	enacting	adjourn	enact	rite	passing	legislation	verse	congress	hastening
environ	enviro	conducive	environmental	ecosystem	sustainable	environ	ecologically	hydrosphere	biosphere	multi-user	ecological	impact	acid	sustainability	atmosphere
endomorph	injective	frobenius	fibration	monomial	quaternionic	homomorphism	constructible	nonabelian	self-dual	3-sphere	intuitionistic	hasse	finitely	hermit	tridiagonal
antill	write-off	cervid	suitor	noncontrolling	rocamadour	thrift	mobster	malefactor

electromagnet	coil	wiggler	superconducting	magnetically	ferromagnetic	chicane	magnetized	magnetic	injector	galvanometer	neodymium	scintillator	detector	levitation	maglev

drafty	cellar	garret	cupboard	basement	floorboard	lean-to	closet	storeroom	porch	outhouse	outbuilding	bookcase	outbuild	mantel	ground-floor


marsupial	bandicoot	wombat	menagerie	meerkat	platypus	short-tailed	kookaburra	spectacled	iguanodon	himantopus	echidna	reptilian	parrot	caracal	pongo
exploded	explode	ignited	explosive	engulf	detonation	explosively	fireball	blast	unleashed	ignite	conflagration	bomb	megaton	superheated	supersonic


tsunami	quake	aftershock	seismically	bhuj	seismological	seismic	seismologist	temblor	tsunami	subduction	seismogenic	epicentral	epicenter	mudslide	sumatra
