mayfly	chironomid	simulium	ephemeroptera	diptera	killifish	cyprinus	phalacrocorax	mosquitofish	trematode	herbivorous	insectivorous	chub	sunfish	piscivorous	salvinia
maastrichtian	neogene	oligocene	mudstone	unconformably	siliciclastic	eocene	superterrane	clastic	lacustrine	granulite	downdip	pliocene	fossiliferous	foraminiferal	entisol
repugnance	abhorred	detestation	malignity	baseness	debasing	licentiousness	reproach	meanness	detestable	indignation	ingratitude	ignoble	odium	affront	pusillanimous
wilma	hurricane	landfall	storm	cyclone	atlantic_hurricane	grimmer	torrential	biloxi	northeastward	typhoon	gust	rita	rainband	houma	nor'easter
militarized	militarism	militarisation	destabilization	globalist	militaristic	counter	neoliberalism	state-building	isolationism	interventionism	repression	antiterrorist	expansionist	upsurge	reassert
air_pollution	water_pollution	polluting	air_quality	environmental	polluter	pollutant	polluted	pollute	smog	pollution_prevention	waste	toxic	clean	toxic	effluent
photomicrograph	micrograph	multicolor	darkfield	sectioned	stereoscope	sepia	retouch	birefringent	low-resolution	photomicrography	translucency	defocused	multi-color	stippling	metallography

ditty	lyric	tune	ballad	lyricist	remix	lullaby	folksong	duet	album	remix	songbook	reggaeton	sing	lyrically	croon
right_wing	flapping	outspread	aileron	feathering	fuselage	flying	feather	flight	airfoil	flap	talon	wingspan	gliding	tail	airplane
heroic	unsung	villain	heroism	derring-do	plucky	heroine	demigod	coward	heroically	superhero	idolized	swashbuckling	bravery	gandalf	daring
cumulonimbus	stratocumulus	cloud	stratiform	convective	stratus	cirrus	updraft	cloudiness	downdraft	extratropical	altocumulus	altostratus	cyclonic	convection	northwestward
gold	silver_star	silver_bullet	silver_lake	lining	coinage	coin	greenback	silver_screen	doubloon	shekel	silver-plated	platter	hoard	plate	silver_bell


pediculus	tapeworm	pinworm	mouthpart	mustela	maggot	ichneumon	pediculosis	encysted	nymphal	isopod	ectoparasite	hemiptera	predaceous	oviparous	spittlebug
decarboxylation	phenylpropanoid	oxylipin	polyphenol	prostaglandin	dehydrogenation	trichloride	dibromide	menadione	acceptor	transamination	propene	sphingolipid	xylose	halocarbon	triethyl
navigational	navigation	waypoint	explorer	navigate	copilot	autopilot	single-click	voyage	sextant	voyaging	circumnavigation	point-and-click	navicore	tooltip	chart


tram	condominium	dozer	storeroom	hajra	primary_forest	old-growth_forest	fasten
farmer	farm	agricultural	arable	agriculture	agriculturalist	tilling	farm	dairying	cultivation	slash-and-burn	agriculturally	fallow	ploughing	smallholder	haying



tantrum	earplug	blackout	downturn	earmuffs	overload	neurohemal	demarc	zasada	slowdown	czechs	shutdown

backgammon	scrabble	tic-tac-toe	cribbage	xiangqi	board_game	mancala	parcheesi	computer_game	kriegspiel	checkmate	solitaire	whist	tetri	grandmaster	boggle

fanon	schelling	culturalist	jürgen	accommodationist	fiss	boa	ethnocentrism	particularism	essentialism	espousal	habermas	eurocentrism	rorty	positivism	exceptionalism
epitaph	sequential_logic	reamplified	archers	lower_court
lioness	red_lion	elephant	jackal	gazelle	mane	hyena	whelp	boar	grizzly	sea_lion	leopard	paw	warthog	rhinoceros	cougar

homonym	phonetically	phonologically	grapheme	non-word	antonym	onomatopoeia	phoneme	phonotactic	trigram	homograph	phonemic	pronunciation	morpheme	pseudoword	obstruent
unavailability	available	timeliness	demand	limited	additionally	access	adequate	reliability	supply	water_use	serviceability	constraint	high_availability	recover	responsiveness
bush_administration	president	clinton	administration	clinton_administration	bushi	bushi	neocon	unilateralist	quagmire	clintonian	unilateralism	democrat	bipartisanship	neoconservative	invade

forecastle	foremast	overboard	hawser	ship	windlass	halyard	hatchway	stateroom	gangway	bowsprit	jib	capsize	midship	con	furled
anticyclonic	anticyclonically	east-northeast	monsoonal	intraseasonal	high_wind	east-southeast	anticyclone	atmospheric_circulation	subduct	equatorward	trough	interdecadal	north-northwest	sudanian	unglaciated

habitual	indolent	habitually	insensibly	accustom	self-denial	life-style	self-control	idleness	accustomed	intemperance	docility	unhealthy	indolence	slothful	unsociable
keen	waterbury	montpelier	elizabethtown	pembroke	maryanne	berk	castleton	burlington	pelham	lora	hillsdale	peterborough	abington	cortland	crestwood
gooey	rubbery	goop	syrupy	creamsicle	doughy	fluffy	unmarred	spiky	slather	rancid	greasily	crinkly	vinegary	lustrous	tomfoolery
relating	pertaining	pertain	relevant	particular	concerning	inquiry	pertinent	deemed	cognate	derogate	germane	confine	examination	disciplinary	honour
cynic	kampman	co-author	temporal_lobe
lobbying	junket	big-money	beholden	backer	clout	under-the-table	lobby	funnel	funnel	bribery	pay-to-play	bilk	bilk	defund	bureaucrat

demean	denigrate	disingenuous	trivialize	belittle	denigrating	justifiably	criticize	fair-minded	self-serving	misguided	deserve	dishonest	maligned	misinform	disrespect
dioxide	co2	silicon_dioxide	sequester	carbon_dioxide	tetrachloride	activated_carbon	carbon_nanotube	carbon-based	sequestration	carbon_credit	carbon_cycle	organic_carbon	carbon_trading	carbon_steel	perfluorocarbon
owner-occupied	rent-free	renter	leasehold	sublet	tenant	renting	rent	sublet	landlord	roomer	housing	homebuilder	subtenant	self-build	condominium
faulting	lineament	deformation	deformed	extensional	fault	seismogenic	rupture	fracture	seismic	crustal	tectonically	fractured	lithospheric	graben	uncommanded
carolina	dakota	carolinian	greenville	north	north_coast	tarheel	dakotan	north_american	catawba	north_america	durham	buncombe	charleston	dakotan	piedmont
contribute	contributor	contributing	emphasis	proportionate	emphasise	betterment	ecclesiological	exemplify	future-oriented	endow	undervalue	outstanding	substantiality	unremunerated	endow

sturnus	parakeet	finch	goldfinch	blackbird	sparrow	cockatoo	turdus	molothrus	buteo	grackle	nuthatch	chickadee	volant	dendroica	lyrebird

trust_fund	trusting	trusted	mutual	entrust	trustee	settlor	reposed	confidence	revocable	fiduciary	vested	bequest	unit_trust	testamentary	benefactor
self-worth	self-esteem	self-image	self-confident	self-respect	assertiveness	self-acceptance	self-belief	self-awareness	self-control	self-concept	instilling	shyness	self-assurance	instil	teamwork
payee	medicare	paye	settlor	enrollee	annuitant	decedent	enroll	benefit	annuity	trustor	payment	testamentary	copayment	spouse	fiduciary
sump	backwashing	influent	aerated	bilge	pumped	clogging	dewatering	scrubber	aeration	filtration	clarifier	backflush	backwash	osmosis	soaking
dryas	deglaciation	interglacial	holocene	paleoclimatic	kyr	obliquity	interstadial	neogene	pliocene	glacier	maastrichtian	multidecadal	subpolar	paleogene	eocene
harvest	harvest	harvestable	logging	drying	harvester	weed	pulpwood	sustainably	postharvest	windrow	silvicultural	timber	clearcutting	replant	revegetation
woolen	knitwear	woollen	denim	sportswear	knitted	cashmere	knitter	clothier	gingham	corset	millinery	burberry	muslin	dressmaking	sneaker
doctoral	phd	doctorate	dissertation	postdoctoral	graduate	m.a.	thesis	b.a.	assistant_professor	minor	predoctoral	biophysics	research_assistant	major	biostatistics
gigabyte	kilobyte	uncompressed	terabyte	megabit	disk	4k	cd-r	8-bit	kilobit	exabyte	petabyte	56k	gb	random-access	decompress
aotearoa	australian	christchurch	zealander	wellington	trans-tasman	kiwi	maori	kiwi	australasian	tasmanian	katipo	wale	macquarie	moala	tamaki



marian	technical-grade	harbor	pearl	honolulu	gem	queda	necklace	n72	livadia	homopterous	scotch	made-up	mislay	jelly	wartime
dramaturgy	screenwriting	scriptwriting	mainstage	playwright	playwright	puppetry	playscript	theatre	stagecraft	shakespearean	playwrighting	dramatist	choreograph	artist-in-residence	choreographer

godwit	curlew	thrush	wren	nuthatch	scientologist	elanus	fulvous	dunlin	protonotaria	gamebirds	osprey	kestrel	wigeon	thick-billed	sandgrouse
exobiology	voskhod	weightlessness	space_flight	spaceflight	keti	astrobiology	orbit	aeronomy	free-flying	embryologist	gavit	gilruth	tektite	bioscientist	manned
enactment	passed	legislation	passing	enact	enacting	fishway	rite	repeal	enact	pass	amend	westward	reauthorize	ulysses	confusedly
environ	conducive	environmental	sustainable	ecologically	create	nurture	interdependency	future-oriented	wellbeing	engender	surround	participative	supportive	collegial	development
injective	endomorph	frobenius	monomial	fibration	constructible	quaternionic	homomorphism	intuitionistic	hasse	self-dual	finitely	semigroup	nonabelian	russellian	cofinality
antill	cervid	suitor	write-off	noncontrolling	thrift	rocamadour	mobster

coil	magnetic	sextupole	electromagnet	superconducting	magnetized	magnetically	wiggler	magnetization	quadrupole	cryomodule	flywheel	levitation	ferrofluid	solenoid	maglev

cellar	brick	basement	drafty	garret	musty	cupboard	lean-to	bookcase	paneling	whitewashed	fireplace	bric-a-brac	outhouse	baseboard	rowhouse


bandicoot	wombat	marsupial	platypus	short-tailed	meerkat	himantopus	menagerie	serval	man-eating	echidna	reptilian	spectacled	ring-tailed	iguanodon	deinonychus
exploded	fireball	explosive	explode	blast	implosion	detonation	collapse	ignited	detonate	thermite	wreckage	incendiary	bomb	flashover	occur


temblor	seismologist	aftershock	quake	seismograph	seismic	epicenter	seismically	mainshock	bhuj	epicentral	seismic	seismographic	seismological	loma	surface_wave
crustal	lithospheric	subduction	magmatism	volcanism	orogenic	orogeny	accretionary	rift	faulting	paleomagnetic	terrane	cenozoic	lithosphere	tectonism	eocene
planter	tenement	meet	half	vender	auctioneer	corn	four	behalf	vend	chattel	halfpenny	warehouseman	clear	remitter	vendee

oculogyric	crisis_management	avert	averting	aftermath	turmoil	international_crisis	worsening	impending	crisis_intervention	recession	defuse	unrest	averted	defusing	destabilization
lanois	barenboim	chanson	off-off-broadway	ballade	yehudi	tempesta	music_director	dybbuk	berio	kobzar	patriarchs	rebec	cyrano	playwright	philanthropist
precipitation	snowfall	snowmelt	streamflow	wetter	drought	monsoonal	rain	d0	rainstorm	north-central	seasonally	flooding	south-central	torrential	meteorologically

country_club	clubs	health_club	soror	book_club	singles	elk	hangout	golfing	nightclub	outing	coffeehouse	breakdancing	interscholastic	kickball	dj
curricular	p-12	teacher_education	core_curriculum	gene	instruct	general_education	intersegmental	grade	k-5	schoolwide	cour	coursework	day_school	classroom	teach

dog	kitten	meow	feline	puppy	peeve	pet	black_cat	cat	rabbit	neutered	dachshund	spayed	shorthair	doggie	civet
print	printer	printed	typesetting	prepress	ink-jet	ink	publishing	compositor	gravure	letterpress	mimeograph	typography	copier	lithographic	spooling
photojournalist	photography	videographer	journalism	photographer	scriptwriting	videography	photojournalistic	free-lance	chronicling	new_media	digital_media	beca	freelancer	photographic	digital_camera
suborbital	spaceplane	space_tourism	blastoff	spaceship	space_flight	baikonur	manned	cosmodrome	space_station	space_exploration	space_shuttle	spaceflight	aeronautic	crewed	refuel
interannual	monsoonal	multidecadal	cloudiness	poleward	thermocline	cyclonic	equatorward	intraseasonal	anticyclone	teleconnection	midlatitude	storminess	extratropical	anticyclonic	stratocumulus
mudstone	clayey	gabbro	silty	schist	granitic	colluvial	alluvium	mafic	interbedded	unconformity	anhydrite	granitoid	gneiss	siltstone	hornblende

non-zero	parameter	nonzero	non-negative	asymptotically	parametrization	h0	stepsize	parameterize	equivalently	initialisation	timestep	non-empty	expr	alist	fmt
molotov	champagne	martini	sipping	daiquiri	dinner	hostess	brunch	swanky	bartend	scarf	cocktail_party	bartender	delicious	bistro	waitstaff
sacrific	sacrificial	self-sacrifice	atone	self-sacrificing	atonement	expiation	sanctify	sake	redeeming	selfless	glorify	self-abnegation	willingly	ignoble	rededicate
herbaceous	low-growing	horsetail	sedge	liquidambar	equisetum	salix	cyperus	bloodroot	rhus	shrubby	carex	alnus	elodea	xerophytic	picea
verb	adjective	dative	nominative	accusative	adjectival	gerund	pronoun	genitive	adverb	preposition	homonym	adverbial	possessive	vocative	inflected
noose	craning	nape	shoulder	scruff	foreleg	outstretched	crane	thigh	sternum	torso	leg	forearm	buttock	waist	upraised
